Date,Country,Total_cases,New_cases,Total_deaths,New_deaths
31/12/19,Austria,0,0,0,0
1/1/20,Austria,0,0,0,0
2/1/20,Austria,0,0,0,0
3/1/20,Austria,0,0,0,0
4/1/20,Austria,0,0,0,0
5/1/20,Austria,0,0,0,0
6/1/20,Austria,0,0,0,0
7/1/20,Austria,0,0,0,0
8/1/20,Austria,0,0,0,0
9/1/20,Austria,0,0,0,0
10/1/20,Austria,0,0,0,0
11/1/20,Austria,0,0,0,0
12/1/20,Austria,0,0,0,0
13/1/20,Austria,0,0,0,0
14/1/20,Austria,0,0,0,0
15/1/20,Austria,0,0,0,0
16/1/20,Austria,0,0,0,0
17/1/20,Austria,0,0,0,0
18/1/20,Austria,0,0,0,0
19/1/20,Austria,0,0,0,0
20/1/20,Austria,0,0,0,0
21/1/20,Austria,0,0,0,0
22/1/20,Austria,0,0,0,0
23/1/20,Austria,0,0,0,0
24/1/20,Austria,0,0,0,0
25/1/20,Austria,0,0,0,0
26/1/20,Austria,0,0,0,0
27/1/20,Austria,0,0,0,0
28/1/20,Austria,0,0,0,0
29/1/20,Austria,0,0,0,0
30/1/20,Austria,0,0,0,0
31/1/20,Austria,0,0,0,0
1/2/20,Austria,0,0,0,0
2/2/20,Austria,0,0,0,0
3/2/20,Austria,0,0,0,0
4/2/20,Austria,0,0,0,0
5/2/20,Austria,0,0,0,0
6/2/20,Austria,0,0,0,0
7/2/20,Austria,0,0,0,0
8/2/20,Austria,0,0,0,0
9/2/20,Austria,0,0,0,0
10/2/20,Austria,0,0,0,0
11/2/20,Austria,0,0,0,0
12/2/20,Austria,0,0,0,0
13/2/20,Austria,0,0,0,0
14/2/20,Austria,0,0,0,0
15/2/20,Austria,0,0,0,0
16/2/20,Austria,0,0,0,0
17/2/20,Austria,0,0,0,0
18/2/20,Austria,0,0,0,0
19/2/20,Austria,0,0,0,0
20/2/20,Austria,0,0,0,0
21/2/20,Austria,0,0,0,0
22/2/20,Austria,0,0,0,0
23/2/20,Austria,0,0,0,0
24/2/20,Austria,0,0,0,0
25/2/20,Austria,0,0,0,0
26/2/20,Austria,2,2,0,0
27/2/20,Austria,2,0,0,0
28/2/20,Austria,5,3,0,0
29/2/20,Austria,7,2,0,0
1/3/20,Austria,10,3,0,0
2/3/20,Austria,14,4,0,0
3/3/20,Austria,18,4,0,0
4/3/20,Austria,24,6,0,0
5/3/20,Austria,29,5,0,0
6/3/20,Austria,41,12,0,0
7/3/20,Austria,74,33,0,0
8/3/20,Austria,99,25,0,0
9/3/20,Austria,102,3,0,0
10/3/20,Austria,131,29,0,0
11/3/20,Austria,182,51,0,0
12/3/20,Austria,246,64,0,0
13/3/20,Austria,361,115,1,1
14/3/20,Austria,504,143,1,0
15/3/20,Austria,655,151,1,0
16/3/20,Austria,860,205,1,0
17/3/20,Austria,1016,156,3,2
18/3/20,Austria,1332,316,3,0
19/3/20,Austria,1646,314,4,1
20/3/20,Austria,2196,550,6,2
21/3/20,Austria,2649,453,6,0
22/3/20,Austria,3024,375,8,2
23/3/20,Austria,3631,607,16,8
24/3/20,Austria,4486,855,25,9
25/3/20,Austria,5282,796,30,5
26/3/20,Austria,5888,606,34,4
27/3/20,Austria,7029,1141,52,18
28/3/20,Austria,7697,668,68,16
29/3/20,Austria,8291,594,68,0
30/3/20,Austria,8813,522,86,18
31/3/20,Austria,9618,805,108,22
1/4/20,Austria,10182,564,128,20
2/4/20,Austria,10711,529,146,18
3/4/20,Austria,11129,418,158,12
4/4/20,Austria,11525,396,168,10
5/4/20,Austria,11766,241,186,18
6/4/20,Austria,11983,217,204,18
7/4/20,Austria,12297,314,220,16
8/4/20,Austria,12640,343,243,23
9/4/20,Austria,12969,329,273,30
10/4/20,Austria,13248,279,295,22
11/4/20,Austria,13560,312,319,24
12/4/20,Austria,13807,247,337,18
13/4/20,Austria,13937,130,350,13
14/4/20,Austria,14043,106,368,18
15/4/20,Austria,14234,191,384,16
16/4/20,Austria,14370,136,393,9
17/4/20,Austria,14448,78,410,17
18/4/20,Austria,14603,155,431,21
19/4/20,Austria,14662,59,443,12
20/4/20,Austria,14710,48,452,9
21/4/20,Austria,14783,73,462,10
22/4/20,Austria,14833,50,463,1
23/4/20,Austria,14924,91,494,31
24/4/20,Austria,14985,61,508,14
25/4/20,Austria,15068,83,513,5
26/4/20,Austria,15134,66,536,23
27/4/20,Austria,15189,55,542,6
28/4/20,Austria,15256,67,549,7
29/4/20,Austria,15314,58,569,20
30/4/20,Austria,15364,50,580,11
1/5/20,Austria,15424,60,584,4
2/5/20,Austria,15458,34,589,5
