COUNTRY,REGION,ADMIN_LEVEL_NAME,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
Austria,Europe,,Introduction / extension of measures,Public health measures,Testing policy,,Symptoms and exposure to an at-risk region or a confirmed case; OR any primary care physician can order a test if suspecting a case irrespective of the conditions; OR health personell ,not applicable,,Ministry of Health,Government,https://www.ots.at/presseaussendung/OTS_20200323_OTS0027/anschober-zahl-der-corona-testungen-wird-massiv-erhoeht-anhang,27/3/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,,"Support in logistics, security and border controls; extension of mandatory military service and recruitment of previous service members",Not applicable,,Austrian Armed Forces,Government,http://www.bundesheer.at/archiv/a2020/corona/artikel.php?id=5507,27/3/20,
Austria,Europe,Mittelberg,Introduction / extension of measures,Movement restrictions,Curfews,checked,"Curfew for a certain areas in Vorarlberg municipalities from 24.00 - 5.00, until 30th April",Not available ,,Government of Vorarlberg,Government,https://vorarlberg.at/documents/21336/541374/Amtsblatt+2020+-+Nr.+25/4f32f51c-749c-4412-bcdf-a6fe78f469b4,14/4/20,
Austria,Europe,"Linz, Vienna",Introduction / extension of measures,Public health measures,Awareness campaigns,,Health information bot to tackled fake news spreading,Not applicable,,The Mayor ,Media,https://www.themayor.eu/en/meet-austrian-cities-corona-bot,20/4/20,
Austria,Europe,"Salzburg, Vienna, Burgenland, Styria",Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,500 Euro bonus for 24-hour care personal,Not applicable,,Salzburg government,Government,https://service.salzburg.gv.at/lkorrj/detail?nachrid=63360,25/4/20,https://coronavirus.wien.gv.at/site/sonderpraemie-fuer-24-stunden-betreuerinnen/
Austria,Europe,Salzburg,Introduction / extension of measures,Social distancing,Closure of businesses and public services,checked,Extension until 30th April: closure of playgrounds,Not applicable,,Salzburg government,Government,https://service.salzburg.gv.at/lkorrj/detail?nachrid=63285,25/4/20,
Austria,Europe,Vienna,Introduction / extension of measures,Public health measures,Other public health measures enforced,,Vienna closed all public drinking fountains to avoid contamination there,Not applicable,,Die Krone,Media,https://www.krone.at/2146400,3/5/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,Emergency support for unemployed extended retrospectively to 16th March,Not applicable,,Der Standard,Media,https://www.derstandard.at/story/2000117168799/notstandshilfe-wird-rueckwirkend-mit-mitte-maerz-erhoeht,3/5/20,
Austria,Europe,,Introduction / extension of measures,Public health measures,Awareness campaigns,,Letter to risk groups informing them about appropriate safety measures,Not applicable,,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Haeufig-gestellte-Fragen/FAQ--Risikogruppen.html,11/5/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Visa restrictions,,No visas are issued for Austria/Schengen globally,Not applicable,,Austria Marketing,Other organisations,https://www.austria.info/en/service-and-facts/coronavirus-information,20/5/20,
Austria,Europe,,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,checked,"Austrian citizens may enter the country again without a health certificate, if they are undergoing a 14 days home quarantine",Not applicable,,Ministry of the Interior,Government,https://www.bmi.gv.at/news.aspx?id=314A5A707A4547684D55733D,28/5/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,"Additional economic measures for businesses in the tourism sector: state covered credit rates, fixed cost support, last year losses may be calculated into this years balance",Not applicable,,Government,Government,https://www.sichere-gastfreundschaft.at/,18/6/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Start-up bonus for employing unemployed persons established,Not applicable,,Government,Government,https://www.sichere-gastfreundschaft.at/,18/6/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Limit public gatherings,,limit of public gatherings over 500 person outdoors and limit of indoor gatherings to 100 person,Not applicable,10/3/20,Government,Government,https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/coronavirus_in_oesterreich_aktuelle_massnahmen.html,15/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,International flights suspension,checked,"Flights from the following locations were banned: Volksrepublik China,  Republik Korea,  Islamische Republik Iran,  Italien,  Schweiz,  Frankreich,  Spanien,  Vereinigtes Kï¿½nigreich,  Niederlande,  Russische Fï¿½deration,  Ukraine",Not applicable,10/3/20,Government,Government,https://www.sozialministerium.at/dam/jcr:f86f5e8c-3e2f-47a0-be97-9f2da352e375/Verordnung_V20200325-web.pdf,15/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border checks,checked,intensified border checks at forder with Italy,Not applicable,11/3/20,Reuters,Media,https://www.reuters.com/article/us-health-coronavirus-austria/austria-closing-schools-over-coronavirus-as-border-checks-take-effect-idUSKBN20Y2YC,15/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border closure,checked,To Switzerland and Liechtenstein,Refusal to enter the country,11/3/20,Ministry of the Interior,Government,https://www.bmi.gv.at/news.aspx?id=314A5A707A4547684D55733D,14/4/20,
Austria,Europe,Tyrol,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,checked,Introduction of quarantine policies for residents of Paznautal and St. Anton (Tirol State) for 14 days meaning nobody is permitted to enter or leave the areas under quarantine while local residents are still permitted to leave their homes,Fines,13/3/20,Tyrol Government,Government,https://www.tirol.gv.at/meldungen/meldung/artikel/coronavirus-paznauntal-und-st-anton-am-arlberg-werden-isoliert-1/,15/3/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,The Oesterreichische Nationalbank is ready to give out cash to banks for liquidity,Not applicable,13/3/20,International Monetary Fund,Other organisations,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,16/4/20,https://www.bmf.gv.at/en/press/press-releases/2020/March/Corona---Bl%C3%BCmel--%E2%80%9CGood-talks-with-representatives-of-the-banking-sector-and-the-OeNB%E2%80%9D-.html
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,announcement of economic measures including loans for private businesses,Not applicable,14/3/20,Government,Government,https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/corona_krisenbew%C3%A4ltigungsfonds_fuer_unternehmen_und_arbeitsplaetze.html,15/3/20,
Austria,Europe,Carinthia,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,,Quarantine implemented for the Heiligenblut region halting all travel from and to the areas,Not available ,14/3/20,Government,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,20/3/20,https://www.salzburg24.at/news/salzburg/grenznah/ende-der-quarantaene-in-heiligenblut-85538170
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border checks,checked,Liechtenstein and Switzerland are now also affected by newly installed border checks,Not applicable,14/3/20,Ministry of the Interior,Government,https://bmi.gv.at/news.aspx?id=314A5A707A4547684D55733D,27/3/20,
Austria,Europe,,Introduction / extension of measures,Lockdown,Partial lockdown,,"Citizens are to suspend all non-essential activities outside their homes and stay in their homes for the duration for one week; ecemptions are essential work, for essential shopping or services, helping someone else, physical activity if alone or with co-living persons",Fines,16/3/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,15/3/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Limit public gatherings,,ban of public gatherings over 5 people,Not applicable,16/3/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,15/3/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Schools closure,,schools and education institutions closed starting for secondary schools on 16 March and on 18 March for primary schools,Not applicable,16/3/20,Government,Government,https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/aktuelle_entwicklungen_in_der_schule.html,15/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Visa restrictions,checked,"entry ban for travelers from Great Britain, Netherlands, Ukraine, Russia unless they have a medical certificate confirming no coronavirus infection and will self-quarantine for 14 days",Not applicable,16/3/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,15/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,International flights suspension,checked,"suspension of flights and trains from Switzerland, Spain, France",Not applicable,16/3/20,Ministry for Foreign Affairs,Government,https://www.bmeia.gv.at/,15/3/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Closure of businesses and public services,checked,"Closure of all ski lifts and hotels in Tyrol, Salzburg, Carinthia and Upper Austria",Not applicable,16/3/20,Government,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,20/3/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Easing of work safety restrictions for transport drivers,Not applicable,16/3/20,Economic Chamber Austria,Government,https://www.wko.at/branchen/transport-verkehr/gueterbefoerderungsgewerbe/infos-zu-corona-fuer-das-gueterbefoerderungewerbe.html#heading_Gilt_das_Wochenendfahrverbot__2,14/4/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Closure of businesses and public services,,Closure of restaurants,Not applicable,16/3/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,18/5/20,
Austria,Europe,Vorarlberg,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,,Quarantine implemented for the Arlberg region halting all travel from and to the areas; at implementation time limited to 3rd April,Not available ,17/3/20,Government,Government,https://vorarlberg.at/web/land-vorarlberg/contentdetailseite/-/asset_publisher/qA6AJ38txu0k/content/informationen-zum-coronavirus?article_id=554628,20/3/20,
Austria,Europe,Vorarlberg,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,checked,People previously in the Arlberg region need to follow a 14 day mandatory home quaratine,Not available ,17/3/20,Government,Government,https://vorarlberg.at/web/land-vorarlberg/contentdetailseite/-/asset_publisher/qA6AJ38txu0k/content/informationen-zum-coronavirus?article_id=554628,20/3/20,
Austria,Europe,Tyrol,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,,Quarantine extended to Sï¿½lden and St.Christoph am Arlberg halting all travel from and to the areas,Not available ,17/3/20,Government ,Government,https://www.tirol.gv.at/meldungen/meldung/artikel/coronavirus-soelden-wird-unter-quarantaene-gestellt/,20/3/20,
Austria,Europe,Tyrol,Introduction / extension of measures,Public health measures,Psychological assistance and medical social work,,A hotline for mental health and stress related the virus were set-up,Not applicable,17/3/20,Government,Government,https://www.tirol.gv.at/meldungen/meldung/artikel/land-tirol-richtet-psychosozialen-dienst-ein/,20/3/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Closure of businesses and public services,,Closure of all public services that are not essential and where close contact is given,Not available ,17/3/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/dam/jcr:f86f5e8c-3e2f-47a0-be97-9f2da352e375/Verordnung_V20200325-web.pdf,27/3/20,
Austria,Europe,Tyrol,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,"Appeal to not purchase products online, but wait and support the local economy post-crises",Not applicable,18/3/20,Government,Government,https://www.tirol.gv.at/meldungen/meldung/artikel/lrin-zoller-frischauf-spaeter-in-tirol-kaufen-statt-jetzt-von-der-couch-aus-weltweit-bestellen/,20/3/20,
Austria,Europe,,Phase-out measure,Social distancing,Schools closure,checked,Primary and secondary schools remain open for students of parents that work in jobs where home office is not feasible or where their parents can not take care of them for other reasons,Not applicable,18/3/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,3/5/20,https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/aktuelle_entwicklungen_in_der_schule.html
Austria,Europe,Tyrol,Introduction / extension of measures,Movement restrictions,Visa restrictions,,People without residency in Tyrol mandated to leave,Fines,19/3/20,Government,Government,https://www.tirol.gv.at/fileadmin/buergerservice/Downloads/LGB_19032020.pdf,20/3/20,
Austria,Europe,Tyrol,Introduction / extension of measures,Lockdown,Partial lockdown,,"All municipalities in Tyrol are under quarantine with no movements in between municipalities, only few reasons to go outside including limited time spend to ""catch some fresh air"", no sports allowed at all (e.g. jogging)",Fines,19/3/20,Government,Government,https://www.tirol.gv.at/fileadmin/buergerservice/Downloads/LGB_19032020.pdf,20/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border checks,checked,"Additional to previously installed border checks, these checks now also apply to the borders to Germany",Not applicable,19/3/20,Ministry of the Interior,Government,https://bmi.gv.at/news.aspx?id=3069576579716462395A303D,27/3/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border closure,checked,"To Germany, Slowenia, Hungary",Refusal to enter the country,19/3/20,Ministry of the Interior,Government,https://www.bmi.gv.at/news.aspx?id=314A5A707A4547684D55733D,14/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,checked,Crises unit implemented specifically to ensure the tackling of fake news online; major news institutes of Austria are part of unit,Not applicable,19/3/20,Government,Government,https://www.oesterreich.gv.at/nachrichten/allgemein/Digitaler-Krisenstab-und-Aufdecker-Netzwerk.html,20/4/20,
Austria,Europe,,Introduction / extension of measures,Public health measures,Strengthening the public health system,,23 million for research on COVID-19 medicines or treatments,Not applicable,21/3/20,Ministry for Digital and Economic Affairs,Government,https://www.bmdw.gv.at/Presse/AktuellePressemeldungen/Coronavirus--Regierung-unterst%C3%BCtzt-Erforschung-von-Medikamenten-mit-23-Millionen-Euro.html,27/3/20,
Austria,Europe,Vorarlberg,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,checked,"Two villages: Nenzing-Dorf und Beschling under ""quarantine"" meaning that nobody can enter or leave",Not applicable,22/3/20,State of Vorarlberg,Government,https://vorarlberg.at/web/land-vorarlberg/contentdetailseite/-/asset_publisher/qA6AJ38txu0k/content/informationen-zum-coronavirus?article_id=554628,27/3/20,
Austria,Europe,,Introduction / extension of measures,Public health measures,Strengthening the public health system,,Local production sites established for protective gear,Not applicable,23/3/20,Chamber of Commerce,Government,https://news.wko.at/news/oesterreich/WKOe-Kopf:-Heimische-Produktion-von-Schutzprodukten-gegen.html,27/3/20,
